Model,Training_Time_Seconds,Final_Loss
RNN From Scratch (NumPy),11621.34060907364,22.814732670355102
One-Hot Encoding (PyTorch),257.89110493659973,0.0331530771172118
Trainable Embedding (PyTorch),130.76644897460938,0.038799241625699
